Player ID,Level,Attempts,Time Played,Booster Used,Avg Daily Login,Level Completion Time,Specific Action Usage,Lives from Ads,Purchase Amount,Purchase Date,Purchase Type,Device Type,OS Version,Friend Invites Sent,Friend Invites Received,Guild Chat Messages,Facebook Connect Status,Social Engagement through Facebook
230936,480,20,800,14,16,921,Fish Usage,28,20.3,2024-01-28,In-App,Samsung Galaxy,19.3,7,0,8,Yes,low
231296,60,23,17048,29,6,50,Striped Candy Swipe,35,46.55,2024-01-28,In-App,Android,17.6,1,20,11,No,low
88142,95,120,7581,17,24,1576,Fish Usage,0,23.49,2024-01-28,In-App,iPhone,13.2,0,8,5,Yes,low
229735,293,269,4828,0,14,50,Extra Time Boost,0,0.71,2024-01-28,In-App,iPad,14.7,1,20,61,No,low
447702,10,94,1331,18,11,398,Special Candy Swap,9,4.41,2024-01-28,In-App,iPad,15.9,10,0,12,Yes,low
472400,69,41,800,18,4,452,Wrapped Candy Blast,48,19.01,2024-01-28,In-App,iPhone,14,25,20,0,Yes,low
880458,374,253,800,95,6,852,Fish Usage,0,5.4,2024-01-28,In-App,iPhone,17.1,2,18,0,No,low
1037654,448,4,800,7,1,290,Special Candy Swap,8,5.23,2024-01-28,In-App,iPhone,17.7,3,0,1,No,low
75012,10,397,8926,28,6,50,Wrapped Candy Blast,5,24.72,2024-01-26,In-App,iPad,14.6,0,5,0,Yes,low
114277,77,42,800,22,1,455,Striped Candy Swipe,6,0.27,2024-01-26,In-App,iPhone,12.8,51,5,0,Yes,low
199104,143,85,9357,0,5,498,Wrapped Candy Swap,0,21.55,2024-01-26,In-App,iPad,17.8,0,10,6,No,low
231463,124,4,25912,0,23,478,Fish Usage,6,10.67,2024-01-24,In-App,iPhone,14.9,4,0,0,Yes,low
231512,54,13,9744,7,24,239,Extra Time Boost,0,41.8,2024-01-24,In-App,Android,16.6,10,0,5,No,low
56696,21,88,800,15,1,2280,Striped Candy Swipe,9,1.53,2024-01-24,In-App,iPad,14.5,0,63,6,No,low
158071,107,4,800,0,10,50,Special Candy Swap,0,25.4,2024-01-24,In-App,iPad,11.4,28,33,11,No,low
231512,10,41,16562,36,7,104,Rewarded_Boosters,2,22.32,2024-01-15,In-App,iPad,17.5,0,7,0,Yes,low
17425,10,74,26027,10,2,266,Fish Usage,9,21.39,2024-01-15,In-App,Samsung Galaxy,11.2,7,0,2,Yes,low
33066,146,95,95000,0,1,335,Wrapped Candy Blast,48,53.85,2024-01-15,In-App,Android,12,12,8,3,Yes,low
357638,10,359,800,95,1,50,Extra Moves,14,6.05,2024-01-15,In-App,iPad,14.9,10,0,20,No,low
423480,10,4,800,57,1,50,Striped Candy Swipe,2,8.37,2024-01-15,In-App,iPhone,11.2,0,0,3,Yes,low
