,Player ID,Level,Attempts,Time Played,Booster Used,Avg Daily Login,Level Completion Time,Specific Action Usage,Lives from Ads,Purchase Amount,Purchase Date,Purchase Type,Friend Invites Sent,Friend Invites Received,Guild Chat Messages,Facebook Connect Status,Social Engagement through Facebook,Purchase Frequency,Total Booster Usage,Level Progression Rate,Time Since Last Purchase,Average Daily Playtime,Social Engagement Ratio,Overall Engagement Score,Scaled Social Engagement Ratio,Total Purchase Amount,Churn Prediction
0,230936,480,20,800,14,16,921,Fish Usage,28,20.3,2024-01-28 00:00:00.000000000,0,7,0,8,1,1,2,42,0.6,4.0,50.0,0.9375,47.756249999999994,0.9375,98.03,False
1,231296,60,23,17048,29,6,50,Striped Candy Swipe,35,46.55,2024-01-28 00:00:00.000000000,0,1,20,11,0,1,1,64,0.0035194744251525107,4.0,2841.3333333333335,5.333333333333333,2561.835093070546,5.333333333333333,46.55,False
2,88142,95,120,7581,17,24,1576,Fish Usage,0,23.49,2024-01-28 00:00:00.000000000,0,0,8,5,1,1,1,17,0.012531328320802004,4.0,315.875,0.5416666666666666,285.5729323308271,0.5416666666666666,23.49,False
3,229735,293,269,4828,0,14,50,Extra Time Boost,0,0.71,2024-01-28 00:00:00.000000000,0,1,20,61,0,1,1,0,0.060687655343827675,4.0,344.85714285714283,5.857142857142857,315.4017723991005,5.857142857142857,0.71,False
4,447702,10,94,1331,18,11,398,Special Candy Swap,9,4.41,2024-01-28 00:00:00.000000000,0,10,0,12,1,1,2,27,0.007513148009015778,4.0,121.0,2.0,112.10375657400452,2.0,22.54,False
5,472400,69,41,800,18,4,452,Wrapped Candy Blast,48,19.01,2024-01-28 00:00:00.000000000,0,25,20,0,1,1,2,66,0.08625,4.0,200.0,11.25,189.71812500000001,11.25,29.18,False
6,880458,374,253,800,95,6,852,Fish Usage,0,5.4,2024-01-28 00:00:00.000000000,0,2,18,0,0,1,2,95,0.4675,4.0,133.33333333333334,3.3333333333333335,124.36708333333334,3.3333333333333335,14.200000000000001,False
7,1037654,448,4,800,7,1,290,Special Candy Swap,8,5.23,2024-01-28 00:00:00.000000000,0,3,0,1,0,1,1,15,0.56,4.0,800.0,4.0,723.9799999999999,4.0,5.23,False
8,75012,10,397,8926,28,6,50,Wrapped Candy Blast,5,24.72,2024-01-26 00:00:00.000000000,0,0,5,0,1,1,1,33,0.001120322652924042,6.0,1487.6666666666667,0.8333333333333334,1340.38389349466,0.8333333333333334,24.72,False
9,114277,77,42,800,22,1,455,Striped Candy Swipe,6,0.27,2024-01-26 00:00:00.000000000,0,51,5,0,1,1,1,28,0.09625,6.0,800.0,56.0,760.148125,56.0,0.27,False
10,199104,143,85,9357,0,5,498,Wrapped Candy Swap,0,21.55,2024-01-26 00:00:00.000000000,0,0,10,6,0,1,1,0,0.015282676071390403,6.0,1871.4,3.2,1687.407641338036,3.2,21.55,False
11,231463,124,4,25912,0,23,478,Fish Usage,6,10.67,2024-01-24 00:00:00.000000000,0,4,0,0,1,1,1,6,0.004785427601111454,8.0,1126.608695652174,0.17391304347826086,1014.9719579311919,0.17391304347826086,10.67,False
12,231512,54,13,9744,7,24,239,Extra Time Boost,0,41.8,2024-01-24 00:00:00.000000000,0,10,0,5,0,1,6,7,0.005541871921182266,8.0,406.0,0.625,371.2402709359606,0.625,241.92,False
13,56696,21,88,800,15,1,2280,Striped Candy Swipe,9,1.53,2024-01-24 00:00:00.000000000,0,0,63,6,0,1,1,24,0.02625,8.0,800.0,69.0,769.2131249999999,69.0,1.53,False
14,158071,107,4,800,0,10,50,Special Candy Swap,0,25.4,2024-01-24 00:00:00.000000000,0,28,33,11,0,1,1,0,0.13375,8.0,80.0,7.2,78.00687500000001,7.2,25.4,False
15,231512,10,41,16562,36,7,104,Rewarded_Boosters,2,22.32,2024-01-15 00:00:00.000000000,0,0,7,0,1,1,6,38,0.0006037918125830214,17.0,2366.0,1.0,2135.5003018959064,1.0,241.92,False
16,17425,10,74,26027,10,2,266,Fish Usage,9,21.39,2024-01-15 00:00:00.000000000,0,7,0,2,1,1,1,19,0.00038421639067122605,17.0,13013.5,4.5,11716.200192108194,4.5,21.39,False
17,33066,146,95,95000,0,1,335,Wrapped Candy Blast,48,53.85,2024-01-15 00:00:00.000000000,0,12,8,3,1,1,1,48,0.0015368421052631579,17.0,95000.0,23.0,85517.00076842106,23.0,53.85,False
18,357638,10,359,800,95,1,50,Extra Moves,14,6.05,2024-01-15 00:00:00.000000000,0,10,0,20,0,1,2,109,0.0125,17.0,800.0,30.0,742.80625,30.0,24.34,False
19,423480,10,4,800,57,1,50,Striped Candy Swipe,2,8.37,2024-01-15 00:00:00.000000000,0,0,0,3,1,1,2,59,0.0125,17.0,800.0,3.0,723.90625,3.0,18.89,False
20,231512,10,69,25533,0,1,50,Wrapped Candy Blast,4,22.39,2024-01-13 00:00:00.000000000,0,14,112,0,1,1,6,4,0.0003916500215407512,19.0,25533.0,126.0,23073.300195825013,100.0,241.92,False
21,231512,125,382,12865,4,10,588,Extra Time Boost,0,1.72,2024-01-12 00:00:00.000000000,0,6,3,11,1,1,6,4,0.00971628449280995,20.0,1286.5,2.0,1164.6548581422467,2.0,241.92,False
