Player ID,Purchase Frequency,Total Booster Usage,Level Progression Rate,Time Since Last Purchase,Average Daily Playtime,Social Engagement Ratio,Overall Engagement Score,Scaled Social Engagement Ratio,Total Purchase Amount,Churn Prediction,Segment
217945,1,18,0.06625,101,200,6,185.133125,6,35.51,TRUE,1
218091,2,51,0.016693906,101,356.9166667,1.041666667,323.7625136,1.041666667,28.22,TRUE,1
59222,1,26,0.00210433,101,36116,25,32522.80105,25,4.08,TRUE,1
80492,1,4,0.0125,101,50,2.25,47.48125,2.25,0.41,TRUE,1
154302,1,7,0.002184182,101,9843.5,10,8867.051092,10,5.66,TRUE,1
161354,1,7,0.001848087,101,225.4583333,4.666666667,207.0800907,4.666666667,22.8,TRUE,1
175313,1,7,0.033613445,101,416.5,0.25,375.9418067,0.25,10.6,TRUE,1
228415,1,25,0.002130054,101,4147,22.66666667,3749.067732,22.66666667,11.35,TRUE,1
1101378,1,35,0.001613424,101,885.4285714,1.285714286,798.686521,1.285714286,11.02,TRUE,1
30426,1,15,0.000572607,103,727.6666667,2.166666667,657.316953,2.166666667,4.33,TRUE,1
692588,2,52,0.01464079,103,979,30.66666667,904.3739871,30.66666667,21.85,TRUE,1
440375,2,32,0.000882068,104,596.6842105,2.947368421,540.8793884,2.947368421,17.39,TRUE,1
443494,2,14,0.03156708,104,337.9047619,0.714285714,306.4300693,0.714285714,18.93,TRUE,1
446619,1,0,0.047940424,104,1074.25,28.25,987.5239702,28.25,43.67,TRUE,1
455935,1,14,0.002142704,104,222.2380952,1.19047619,201.7486904,1.19047619,1.14,TRUE,1
457612,2,14,0.021750593,104,632.1666667,1.333333333,571.6942086,1.333333333,3.43,TRUE,1
461290,2,50,0.000811227,104,513.625,5.166666667,467.6795723,5.166666667,100.63,TRUE,1
19620,1,58,0.001543359,104,1295.875,3.625,1169.725772,3.625,16.76,TRUE,1
76851,1,42,0.0125,104,33.33333333,6.333333333,35.33958333,6.333333333,19.98,TRUE,1
84951,1,31,0.000300075,104,1514.772727,1.590909091,1365.309241,1.590909091,99.99,TRUE,1
121280,1,17,0.011133931,104,385.4583333,2.125,349.305567,2.125,6.6,TRUE,1
169996,2,34,0.001023437,104,1628.5,5.333333333,1471.183845,5.333333333,18.7,TRUE,1
179980,1,23,0.000312891,104,31960,17,28776.80016,17,1.38,TRUE,1
182466,1,12,0.0125,104,800,10,727.90625,10,3.36,TRUE,1
188614,1,30,0.065,104,40,3.65,39.4875,3.65,23.42,TRUE,1
443494,2,12,0.036410366,104,848.9090909,7.909090909,771.3727506,7.909090909,18.93,TRUE,1
15907,1,4,0.000610526,106,3958.333333,1,3564.100305,1,5.68,TRUE,1
76501,1,11,0.008576329,106,48.58333333,6.083333333,48.8876215,6.083333333,23.82,TRUE,1
122953,1,8,0.003052503,106,273,3.708333333,249.1973596,3.708333333,1.45,TRUE,1
153220,1,7,0.019843852,106,6148,16,5545.309922,16,8.39,TRUE,1
154729,1,4,0.001644466,106,1013.5,0,913.0508222,0,13.44,TRUE,1
174831,1,2,0.035,106,80,5.1,76.4875,5.1,17.23,TRUE,1
197025,1,6,0.000817261,106,1748,0.714285714,1574.600409,0.714285714,23.56,TRUE,1
997535,1,23,0.001683785,106,282.8095238,0.380952381,255.69608,0.380952381,9.16,TRUE,1
1039637,1,23,0.001529052,106,6540,11,5894.600765,11,14.4,TRUE,1
56389,2,27,0.003724395,111,111.875,0.958333333,103.1601955,0.958333333,23.94,TRUE,1
56389,2,22,0.036277603,111,52.83333333,4.166666667,52.28480547,4.166666667,23.94,TRUE,1
224851,1,35,0.0125,111,33.33333333,6.041666667,35.13541667,6.041666667,99.99,TRUE,1
236292,1,21,0.000585446,111,17081,31,15395.50029,31,36.07,TRUE,1
248225,2,55,0.001306677,111,1530.6,3.4,1381.720653,3.4,13.97,TRUE,1
65009,1,7,0.002651224,112,597.2083333,0.625,538.8263256,0.625,42.85,TRUE,1
101105,1,4,0.023986766,112,241.8,14.1,228.4019934,14.1,49.91,TRUE,1
114356,1,49,0.020896762,112,903.25,1.583333333,814.9437817,1.583333333,9.86,TRUE,1
125700,2,23,0.00231766,112,7119.25,14.75,6419.451159,14.75,57.98,TRUE,1
125700,2,21,0.000180727,112,2634.857143,3.333333333,2375.504852,3.333333333,57.98,TRUE,1
171573,1,12,0.013806172,112,2955.2,2,2661.986903,2,22.58,TRUE,1
195279,1,15,0.024871982,112,186.4090909,2.318181818,170.3033451,2.318181818,7.59,TRUE,1
210704,2,11,0.0125,112,114.2857143,4,107.4633929,4,29.93,TRUE,1
230615,1,8,0.0125,112,200,5,184.40625,5,99.44,TRUE,1
350942,2,4,0.02,112,800,10,728.81,10,27.9,TRUE,1
440375,2,5,0.017516952,112,12388,58,11191.60876,58,17.39,TRUE,1
472400,2,11,0.009391218,113,3034.75,29.75,2753.904696,29.75,29.18,TRUE,1
472483,2,16,0.001610565,113,1034.833333,8.833333333,939.3341386,8.833333333,29.28,TRUE,1
8346,1,20,0.0125,113,133.3333333,19.5,134.55625,19.5,26.06,TRUE,1
150347,2,36,0.013633727,113,449.6521739,6.913043478,411.3329038,6.913043478,47.7,TRUE,1
263208,1,37,0.005630631,113,161.4545455,9.363636364,152.7664517,9.363636364,19.16,TRUE,1
1280901,1,2,0.015,113,133.3333333,0.833333333,121.4908333,0.833333333,6.55,TRUE,1
128300,1,32,0.000139989,115,2976.416667,1.625,2680.81257,1.625,77.02,TRUE,1
633207,1,21,0.0125,117,34.7826087,1.826086957,33.4888587,1.826086957,31.55,TRUE,1
633325,2,18,0.0125,117,33.33333333,2.75,33.73125,2.75,7.35,TRUE,1
640159,1,56,0.000126325,117,3298.375,0.208333333,2969.583396,0.208333333,11.51,TRUE,1
643057,2,16,0.001511944,117,551.1666667,0.583333333,498.2590893,0.583333333,27.68,TRUE,1
646277,1,16,0.010869565,117,38.33333333,0.833333333,35.98876812,0.833333333,18.77,TRUE,1
662406,2,31,0.001514922,117,660.1,2.7,597.7807575,2.7,168.94,TRUE,1
14177,1,52,0.003756574,117,2662,22,2412.101878,22,13.93,TRUE,1
54250,1,57,0.010571545,117,29324,32,26414.90529,32,0.84,TRUE,1
121671,1,54,0.00153657,117,6508,24,5874.900768,24,1.75,TRUE,1
149076,1,22,0.0125,117,33.33333333,2.958333333,32.97708333,2.958333333,4.32,TRUE,1
150975,1,30,0.014816786,117,11271,40,10172.80741,40,99.99,TRUE,1
165107,1,4,0.015044248,117,1243,6.5,1124.157522,6.5,21.88,TRUE,1
168875,1,21,0.010662056,117,1388.1,0.2,1250.335331,0.2,99.99,TRUE,1
175587,1,0,0.0263066,117,954.5555556,8.333333333,865.8464866,8.333333333,27.26,TRUE,1
240352,1,23,0.007513614,117,967.1333333,2.6,873.1437568,2.6,3.67,TRUE,1
766526,2,24,0.000540249,117,1851,4.9,1671.13027,4.9,18.03,TRUE,1
662879,2,19,0.011190974,118,457.9583333,2.666666667,415.8347622,2.666666667,90.75,TRUE,1
673759,2,31,0.021990876,118,8549,29,7716.210995,29,21.72,TRUE,1
679630,2,3,0.000911518,118,1279.916667,2.291666667,1155.329622,2.291666667,101.19,TRUE,1
681227,2,32,0.010449321,118,39.875,0.041666667,37.72189133,0.041666667,69.09,TRUE,1
13952,1,16,0.021963824,118,1548,22,1409.510982,22,22.64,TRUE,1
56427,1,22,0.005828476,118,2101.75,5.75,1896.502914,5.75,7.21,TRUE,1
100147,1,51,0.0125,118,33.33333333,0.375,31.16875,0.375,99.99,TRUE,1
142827,1,19,0.0125,118,133.3333333,1.166666667,121.7229167,1.166666667,17.41,TRUE,1
313074,1,8,0.0125,118,114.2857143,13.71428571,113.3633929,13.71428571,13.84,TRUE,1
780710,2,30,0.012722278,118,1537.111111,7.777777778,1390.650806,7.777777778,33.68,TRUE,1
682902,1,36,0.0125,119,800,37,746.80625,37,3.25,TRUE,1
686856,1,9,0.001574307,119,1270.4,13.8,1153.920787,13.8,16.36,TRUE,1
123643,1,49,0.0125,119,33.33333333,1.416666667,31.89791667,1.416666667,43.35,TRUE,1
123920,1,2,0.050202236,119,600.4285714,22.57142857,557.1108154,22.57142857,10.51,TRUE,1
222818,1,17,0.005177654,119,26653,38,24015.20259,38,43.41,TRUE,1
294224,1,16,0.000962963,119,5785.714286,7.714285714,5213.443339,7.714285714,6.51,TRUE,1
810708,2,10,0.003926316,119,5000,6.526315789,4506.370384,6.526315789,39.25,TRUE,1
688431,1,45,0.001382361,120,1033.428571,6.285714286,935.3864055,6.285714286,27.83,TRUE,1
692588,2,21,0.006027728,120,2370,6.142857143,2139.103014,6.142857143,21.85,TRUE,1
97411,1,18,0.02020202,120,429,17,398.910101,17,4.89,TRUE,1
698999,1,59,0.010895341,122,678.3913043,2.52173913,613.222839,2.52173913,69.42,TRUE,1
81759,1,1,0.01242236,122,943,14.71428571,859.9062112,14.71428571,70.16,TRUE,1
13168,1,38,0.069732567,124,2000.5,6.333333333,1805.8182,6.333333333,6.67,TRUE,1
